team_home,team_away,goals_home,goals_away,league_division,season,group
FC HIK,PEF,3,0,5,25,1
FC Samba,KaPy,2,5,5,25,1
LoPa/2,HooGee/23,0,0,5,25,1
Olarin Kiksi,Hukat,6,2,5,25,1
HooGee/23,FC HIK,3,7,5,25,1
PEF,FC Samba,8,1,5,25,1
PEF,HooGee/23,10,1,5,25,1
Olarin Kiksi,FC HIK,1,2,5,25,1
LoPa/2,FC Samba,4,4,5,25,1
HooGee/23,KaPy,2,3,5,25,1
KaPy,Hukat,2,2,5,25,1
FC Samba,Olarin Kiksi,2,5,5,25,1
PEF,LoPa/2,6,1,5,25,1
Olarin Kiksi,PEF,0,0,5,25,1
LoPa/2,KaPy,2,4,5,25,1
Hukat,FC HIK,0,4,5,25,1
FC HIK,FC Samba,9,0,5,25,1
HooGee/23,Olarin Kiksi,1,3,5,25,1
Hukat,PEF,2,7,5,25,1
Olarin Kiksi,KaPy,13,2,5,25,1
Hukat,HooGee/23,2,0,5,25,1
LoPa/2,FC HIK,1,1,5,25,1
KaPy,PEF,1,6,5,25,1
HooGee/23,FC Samba,2,3,5,25,1
Hukat,LoPa/2,5,0,5,25,1
FC HIK,KaPy,1,0,5,25,1
LoPa/2,Olarin Kiksi,0,4,5,25,1
KaPy,FC Samba,2,9,5,25,1
HooGee/23,LoPa/2,13,0,5,25,1
PEF,FC HIK,1,0,5,25,1
FC HIK,HooGee/23,4,3,5,25,1
FC Samba,PEF,0,7,5,25,1
Hukat,Olarin Kiksi,2,8,5,25,1
KaPy,HooGee/23,1,8,5,25,1
FC HIK,Olarin Kiksi,2,1,5,25,1
FC Samba,LoPa/2,7,2,5,25,1
Olarin Kiksi,FC Samba,9,2,5,25,1
Hukat,KaPy,4,2,5,25,1
LoPa/2,PEF,0,3,5,25,1
KaPy,LoPa/2,3,1,5,25,1
FC HIK,Hukat,6,1,5,25,1
PEF,Olarin Kiksi,1,5,5,25,1
PEF,Hukat,2,1,5,25,1
Olarin Kiksi,HooGee/23,12,1,5,25,1
FC Samba,FC HIK,2,13,5,25,1
KaPy,Olarin Kiksi,2,5,5,25,1
