Rk,Squad,MP,W,D,L,GF,GA,GD,Pts
1,MK United/Warriors,7,6,0,1,30,13,17,18
2,VAMOL/Myyrmäki,7,5,0,2,16,19,-3,15
3,Scorpions,7,4,1,2,23,13,10,13
4,Trikiinit,7,4,0,3,18,21,-3,12
5,FC Viikingit/S.C.P L,7,3,1,3,12,12,0,10
6,Ruila,7,3,0,4,35,24,11,9
7,PK-35/Legendat,7,2,0,5,23,22,1,6
8,Ariana FC,7,0,0,7,12,45,-33,0
