team_home,team_away,goals_home,goals_away,season,league_division,group
FC ST4Y,Andalus FC,1,1,23,6,7
MK-United,AFC EMU,2,0,23,6,7
FC Kontu/Kupa,FC Vantaa,0,2,23,6,7
KoPa,PPS/Diablos Rojos,0,13,23,6,7
Vietfin FC,FC ST4Y,4,0,23,6,7
Andalus FC,FC Kontu/Kupa,1,0,23,6,7
FC Vantaa,KoPa,6,1,23,6,7
PPS/Diablos Rojos,MK-United,1,5,23,6,7
FC ST4Y,FC Kontu/Kupa,0,0,23,6,7
AFC EMU,Andalus FC,1,4,23,6,7
MK-United,FC Vantaa,3,0,23,6,7
KoPa,TiPS/Legends,1,3,23,6,7
PPS/Diablos Rojos,Vietfin FC,1,0,23,6,7
FC Vantaa,AFC EMU,1,1,23,6,7
FC Kontu/Kupa,KoPa,3,2,23,6,7
TiPS/Legends,FC ST4Y,3,0,23,6,7
Andalus FC,PPS/Diablos Rojos,1,2,23,6,7
Vietfin FC,MK-United,0,0,23,6,7
TiPS/Legends,FC Vantaa,7,0,23,6,7
MK-United,Andalus FC,0,3,23,6,7
KoPa,Vietfin FC,2,5,23,6,7
AFC EMU,FC Kontu/Kupa,1,1,23,6,7
FC ST4Y,PPS/Diablos Rojos,2,3,23,6,7
FC ST4Y,KoPa,5,0,23,6,7
Andalus FC,TiPS/Legends,3,1,23,6,7
Vietfin FC,FC Vantaa,3,1,23,6,7
FC Kontu/Kupa,MK-United,0,2,23,6,7
PPS/Diablos Rojos,AFC EMU,2,0,23,6,7
TiPS/Legends,FC Kontu/Kupa,3,2,23,6,7
FC Vantaa,PPS/Diablos Rojos,2,3,23,6,7
MK-United,FC ST4Y,1,3,23,6,7
AFC EMU,Vietfin FC,5,3,23,6,7
KoPa,Andalus FC,0,5,23,6,7
PPS/Diablos Rojos,TiPS/Legends,1,2,23,6,7
FC Vantaa,Andalus FC,1,2,23,6,7
MK-United,KoPa,4,1,23,6,7
Vietfin FC,FC Kontu/Kupa,1,3,23,6,7
TiPS/Legends,MK-United,7,1,23,6,7
FC ST4Y,FC Vantaa,3,1,23,6,7
Andalus FC,Vietfin FC,2,6,23,6,7
KoPa,AFC EMU,0,2,23,6,7
FC Kontu/Kupa,PPS/Diablos Rojos,2,2,23,6,7
FC Tuusula,FC Kapina/2,6,0,23,6,8
Pelikaani,KeiKa,2,0,23,6,8
AC JazzPa,HausPa,0,2,23,6,8
HAlku/FC,FC Kapina/2,2,4,23,6,8
JäPS/United,Pelikaani,6,1,23,6,8
FCFJ,FC Tuusula,3,0,23,6,8
KeiKa,HAlku/FC,2,0,23,6,8
FC Kapina/2,AC JazzPa,1,1,23,6,8
HausPa,JäPS/United,5,3,23,6,8
FC Tuusula,HAlku/FC,2,3,23,6,8
KeiKa,FC Kapina/2,3,0,23,6,8
AC JazzPa,FC Tuusula,1,2,23,6,8
Pelikaani,FCFJ,1,1,23,6,8
JäPS/United,KeiKa,5,2,23,6,8
FCFJ,AC JazzPa,3,1,23,6,8
FC Kapina/2,HausPa,1,3,23,6,8
HAlku/FC,FCFJ,0,4,23,6,8
Pelikaani,HausPa,2,0,23,6,8
AC JazzPa,JäPS/United,2,1,23,6,8
HausPa,HAlku/FC,3,1,23,6,8
JäPS/United,FC Kapina/2,1,1,23,6,8
FCFJ,KeiKa,4,0,23,6,8
Pelikaani,AC JazzPa,4,0,23,6,8
HausPa,KeiKa,0,1,23,6,8
HAlku/FC,JäPS/United,1,7,23,6,8
FC Kapina/2,FCFJ,0,3,23,6,8
FC Tuusula,Pelikaani,0,8,23,6,8
HausPa,FC Tuusula,3,0,23,6,8
HAlku/FC,Pelikaani,2,4,23,6,8
JäPS/United,FCFJ,1,5,23,6,8
KeiKa,AC JazzPa,0,3,23,6,8
Pelikaani,FC Kapina/2,2,0,23,6,8
AC JazzPa,HAlku/FC,3,0,23,6,8
FC Tuusula,KeiKa,3,4,23,6,8
HausPa,FCFJ,0,3,23,6,8
HausPa,AC JazzPa,2,1,23,6,8
JäPS/United,FC Tuusula,1,1,23,6,8
KeiKa,Pelikaani,2,2,23,6,8
FC Kapina/2,HAlku/FC,0,1,23,6,8
FC Tuusula,JäPS/United,0,1,23,6,8
HAlku/FC,KeiKa,0,0,23,6,8
Pelikaani,JäPS/United,8,0,23,6,8
FC Tuusula,FCFJ,1,2,23,6,8
AC JazzPa,FC Kapina/2,5,0,23,6,8
JäPS/United,HausPa,5,2,23,6,8
FCFJ,Pelikaani,5,2,23,6,8
FC Tuusula,AC JazzPa,1,4,23,6,8
FC Kapina/2,KeiKa,1,5,23,6,8
HausPa,FC Kapina/2,1,1,23,6,8
HAlku/FC,FC Tuusula,0,3,23,6,8
KeiKa,JäPS/United,2,2,23,6,8
AC JazzPa,FCFJ,0,7,23,6,8
FC Kapina/2,FC Tuusula,1,2,23,6,8
HausPa,Pelikaani,2,2,23,6,8
JäPS/United,AC JazzPa,2,2,23,6,8
FCFJ,HAlku/FC,8,0,23,6,8
FC Kapina/2,JäPS/United,1,6,23,6,8
HAlku/FC,HausPa,4,3,23,6,8
KeiKa,FCFJ,0,2,23,6,8
AC JazzPa,Pelikaani,0,0,23,6,8
JäPS/United,HAlku/FC,2,1,23,6,8
KeiKa,HausPa,2,1,23,6,8
FCFJ,FC Kapina/2,12,0,23,6,8
Pelikaani,FC Tuusula,3,2,23,6,8
AC JazzPa,KeiKa,1,1,23,6,8
Pelikaani,HAlku/FC,3,0,23,6,8
FC Tuusula,HausPa,0,4,23,6,8
FCFJ,JäPS/United,5,0,23,6,8
FC Kapina/2,Pelikaani,1,5,23,6,8
HAlku/FC,AC JazzPa,4,1,23,6,8
FCFJ,HausPa,2,3,23,6,8
KeiKa,FC Tuusula,3,0,23,6,8
FC Villisiat,Naseva,2,4,23,6,9
Flamingo United,Iitin Pallo-68,5,1,23,6,9
PaPe,LIK,3,3,23,6,9
FC Loviisa/2,HP-47,1,2,23,6,9
LIK,JaVo,1,5,23,6,9
HP-47,FC Villisiat,4,1,23,6,9
Naseva,PaPe,2,1,23,6,9
JaVo,FC Loviisa/2,1,1,23,6,9
PaPe,Flamingo United,4,2,23,6,9
FC Villisiat,Iitin Pallo-68,4,0,23,6,9
Naseva,LIK,10,0,23,6,9
Flamingo United,HP-47,4,1,23,6,9
Iitin Pallo-68,JaVo,4,0,23,6,9
Flamingo United,FC Villisiat,5,3,23,6,9
HP-47,Naseva,2,2,23,6,9
FC Loviisa/2,PaPe,0,2,23,6,9
JaVo,HP-47,2,2,23,6,9
PaPe,Iitin Pallo-68,0,2,23,6,9
FC Loviisa/2,LIK,3,0,23,6,9
Naseva,Flamingo United,2,1,23,6,9
Iitin Pallo-68,Naseva,1,1,23,6,9
FC Villisiat,JaVo,4,1,23,6,9
Flamingo United,FC Loviisa/2,2,0,23,6,9
HP-47,LIK,9,2,23,6,9
JaVo,Flamingo United,2,3,23,6,9
LIK,Iitin Pallo-68,2,3,23,6,9
PaPe,HP-47,0,3,23,6,9
FC Loviisa/2,FC Villisiat,1,3,23,6,9
HP-47,Iitin Pallo-68,2,0,23,6,9
LIK,Flamingo United,0,1,23,6,9
PaPe,FC Villisiat,3,0,23,6,9
Naseva,JaVo,2,1,23,6,9
JaVo,PaPe,2,3,23,6,9
FC Villisiat,LIK,7,0,23,6,9
FC Loviisa/2,Naseva,4,1,23,6,9
Iitin Pallo-68,FC Loviisa/2,3,0,23,6,9
Iitin Pallo-68,Flamingo United,5,1,23,6,9
LIK,PaPe,1,4,23,6,9
HP-47,FC Loviisa/2,3,3,23,6,9
Naseva,FC Villisiat,1,1,23,6,9
PaPe,Naseva,0,3,23,6,9
FC Villisiat,HP-47,1,6,23,6,9
JaVo,LIK,2,0,23,6,9
FC Loviisa/2,Iitin Pallo-68,0,2,23,6,9
Iitin Pallo-68,FC Villisiat,3,2,23,6,9
LIK,Naseva,4,4,23,6,9
Flamingo United,PaPe,7,0,23,6,9
FC Loviisa/2,JaVo,4,2,23,6,9
FC Villisiat,Flamingo United,3,2,23,6,9
JaVo,Iitin Pallo-68,0,0,23,6,9
PaPe,FC Loviisa/2,2,2,23,6,9
Naseva,HP-47,2,2,23,6,9
Iitin Pallo-68,PaPe,2,1,23,6,9
HP-47,JaVo,4,1,23,6,9
LIK,FC Loviisa/2,1,6,23,6,9
Flamingo United,Naseva,1,0,23,6,9
JaVo,FC Villisiat,0,0,23,6,9
LIK,HP-47,1,5,23,6,9
FC Loviisa/2,Flamingo United,2,1,23,6,9
Naseva,Iitin Pallo-68,3,1,23,6,9
Iitin Pallo-68,LIK,2,0,23,6,9
Flamingo United,JaVo,2,2,23,6,9
HP-47,PaPe,4,3,23,6,9
FC Villisiat,FC Loviisa/2,1,2,23,6,9
Iitin Pallo-68,HP-47,0,4,23,6,9
FC Villisiat,PaPe,5,2,23,6,9
JaVo,Naseva,0,2,23,6,9
Flamingo United,LIK,9,1,23,6,9
HP-47,Flamingo United,3,6,23,6,9
LIK,FC Villisiat,0,6,23,6,9
PaPe,JaVo,3,2,23,6,9
Naseva,FC Loviisa/2,1,1,23,6,9
HaTP,KarPo,3,1,23,6,10
Jäntevä/Ukot,HaPK Edustus/2,3,1,23,6,10
ViSa,HiHi,3,0,23,6,10
HaPK Edustus/2,PoPo,4,5,23,6,10
FC Etapo,HaTP,0,4,23,6,10
HiHi,Jäntevä/Ukot,2,3,23,6,10
KarPo,ViSa,0,0,23,6,10
HiHi,HaPK Edustus/2,1,2,23,6,10
ViSa,FC Etapo,1,1,23,6,10
Jäntevä/Ukot,MyPa/FC,6,1,23,6,10
PoPo,HaTP,3,3,23,6,10
HaTP,Jäntevä/Ukot,0,1,23,6,10
FC Etapo,PoPo,0,0,23,6,10
KarPo,HiHi,0,2,23,6,10
MyPa/FC,ViSa,0,4,23,6,10
HaTP,HaPK Edustus/2,2,4,23,6,10
HiHi,MyPa/FC,1,1,23,6,10
Jäntevä/Ukot,FC Etapo,3,3,23,6,10
PoPo,KarPo,6,0,23,6,10
KarPo,HaPK Edustus/2,1,0,23,6,10
ViSa,PoPo,1,1,23,6,10
FC Etapo,HiHi,1,0,23,6,10
MyPa/FC,HaTP,1,6,23,6,10
HaTP,ViSa,1,1,23,6,10
HaPK Edustus/2,FC Etapo,4,1,23,6,10
Jäntevä/Ukot,KarPo,4,1,23,6,10
PoPo,MyPa/FC,9,0,23,6,10
KarPo,FC Etapo,2,0,23,6,10
HaPK Edustus/2,MyPa/FC,3,1,23,6,10
HiHi,PoPo,1,6,23,6,10
Jäntevä/Ukot,ViSa,0,3,23,6,10
HaTP,HiHi,1,2,23,6,10
ViSa,HaPK Edustus/2,4,0,23,6,10
PoPo,Jäntevä/Ukot,4,1,23,6,10
MyPa/FC,KarPo,1,3,23,6,10
MyPa/FC,FC Etapo,1,0,23,6,10
HaPK Edustus/2,Jäntevä/Ukot,1,1,23,6,10
HiHi,ViSa,2,2,23,6,10
FC Etapo,MyPa/FC,1,0,23,6,10
KarPo,HaTP,1,6,23,6,10
HaTP,FC Etapo,1,2,23,6,10
ViSa,KarPo,4,0,23,6,10
Jäntevä/Ukot,HiHi,1,0,23,6,10
PoPo,HaPK Edustus/2,5,2,23,6,10
HaTP,PoPo,2,4,23,6,10
HaPK Edustus/2,HiHi,8,0,23,6,10
FC Etapo,ViSa,1,0,23,6,10
MyPa/FC,Jäntevä/Ukot,1,10,23,6,10
ViSa,MyPa/FC,4,2,23,6,10
Jäntevä/Ukot,HaTP,1,1,23,6,10
HiHi,KarPo,3,3,23,6,10
PoPo,FC Etapo,5,1,23,6,10
HaPK Edustus/2,HaTP,1,3,23,6,10
KarPo,PoPo,1,2,23,6,10
FC Etapo,Jäntevä/Ukot,0,3,23,6,10
MyPa/FC,HiHi,2,1,23,6,10
HaTP,MyPa/FC,5,3,23,6,10
HaPK Edustus/2,KarPo,2,1,23,6,10
PoPo,ViSa,2,2,23,6,10
HiHi,FC Etapo,4,2,23,6,10
ViSa,HaTP,1,1,23,6,10
FC Etapo,HaPK Edustus/2,0,3,23,6,10
KarPo,Jäntevä/Ukot,0,0,23,6,10
MyPa/FC,PoPo,1,7,23,6,10
ViSa,Jäntevä/Ukot,1,4,23,6,10
PoPo,HiHi,5,0,23,6,10
MyPa/FC,HaPK Edustus/2,2,3,23,6,10
FC Etapo,KarPo,0,0,23,6,10
HiHi,HaTP,0,3,23,6,10
HaPK Edustus/2,ViSa,4,2,23,6,10
KarPo,MyPa/FC,0,0,23,6,10
Jäntevä/Ukot,PoPo,1,4,23,6,10
HooGee/Hodari,Hukat,1,0,22,6,1
KFFK,Länsiväylän Dynamo,6,2,22,6,1
Tikka/2,LoPa/2,0,6,22,6,1
FC LP,PEF/KEPU,3,1,22,6,1
FC Kirkkonummi/3,Kilo IF/3,3,2,22,6,1
Kilo IF/3,KFFK,2,3,22,6,1
PEF/KEPU,FC Kirkkonummi/3,2,3,22,6,1
FC LP,Hukat,0,6,22,6,1
PEF/KEPU,Hukat,0,4,22,6,1
Kilo IF/3,LoPa/2,0,3,22,6,1
FC LP,KFFK,0,3,22,6,1
HooGee/Hodari,Länsiväylän Dynamo,4,1,22,6,1
FC Kirkkonummi/3,Tikka/2,3,0,22,6,1
HooGee/Hodari,PEF/KEPU,2,3,22,6,1
LoPa/2,Hukat,1,1,22,6,1
PEF/KEPU,Kilo IF/3,1,1,22,6,1
KFFK,HooGee/Hodari,7,1,22,6,1
Tikka/2,FC LP,2,2,22,6,1
Länsiväylän Dynamo,FC Kirkkonummi/3,0,4,22,6,1
HooGee/Hodari,Kilo IF/3,5,3,22,6,1
Hukat,KFFK,3,2,22,6,1
FC LP,Länsiväylän Dynamo,2,2,22,6,1
Tikka/2,PEF/KEPU,1,2,22,6,1
FC Kirkkonummi/3,LoPa/2,1,1,22,6,1
LoPa/2,PEF/KEPU,2,0,22,6,1
Kilo IF/3,FC LP,3,1,22,6,1
KFFK,Tikka/2,9,0,22,6,1
HooGee/Hodari,FC Kirkkonummi/3,0,3,22,6,1
Länsiväylän Dynamo,Hukat,2,0,22,6,1
PEF/KEPU,Länsiväylän Dynamo,1,0,22,6,1
Hukat,Kilo IF/3,3,0,22,6,1
Tikka/2,HooGee/Hodari,1,3,22,6,1
FC LP,LoPa/2,0,4,22,6,1
FC Kirkkonummi/3,KFFK,3,2,22,6,1
Kilo IF/3,Tikka/2,4,0,22,6,1
Hukat,FC Kirkkonummi/3,3,0,22,6,1
FC LP,HooGee/Hodari,3,4,22,6,1
KFFK,LoPa/2,1,3,22,6,1
Hukat,Tikka/2,8,0,22,6,1
Länsiväylän Dynamo,Kilo IF/3,0,5,22,6,1
FC Kirkkonummi/3,FC LP,4,0,22,6,1
LoPa/2,Tikka/2,5,0,22,6,1
Kilo IF/3,FC Kirkkonummi/3,0,5,22,6,1
PEF/KEPU,FC LP,0,1,22,6,1
Hukat,HooGee/Hodari,4,2,22,6,1
Länsiväylän Dynamo,KFFK,3,4,22,6,1
KFFK,Kilo IF/3,3,0,22,6,1
Hukat,FC LP,4,1,22,6,1
HooGee/Hodari,LoPa/2,0,6,22,6,1
Tikka/2,Länsiväylän Dynamo,0,2,22,6,1
FC Kirkkonummi/3,PEF/KEPU,3,2,22,6,1
LoPa/2,Kilo IF/3,5,1,22,6,1
Länsiväylän Dynamo,HooGee/Hodari,5,0,22,6,1
Hukat,PEF/KEPU,10,0,22,6,1
Tikka/2,FC Kirkkonummi/3,3,4,22,6,1
Kilo IF/3,PEF/KEPU,0,1,22,6,1
FC LP,Tikka/2,4,4,22,6,1
Hukat,LoPa/2,0,1,22,6,1
HooGee/Hodari,KFFK,1,3,22,6,1
FC Kirkkonummi/3,Länsiväylän Dynamo,5,0,22,6,1
LoPa/2,FC Kirkkonummi/3,1,1,22,6,1
PEF/KEPU,Tikka/2,4,1,22,6,1
KFFK,Hukat,0,2,22,6,1
Kilo IF/3,HooGee/Hodari,2,2,22,6,1
Länsiväylän Dynamo,FC LP,3,4,22,6,1
Kilo IF/3,Länsiväylän Dynamo,1,2,22,6,1
PEF/KEPU,LoPa/2,2,5,22,6,1
Hukat,Länsiväylän Dynamo,8,1,22,6,1
FC LP,Kilo IF/3,4,2,22,6,1
Tikka/2,KFFK,1,0,22,6,1
FC Kirkkonummi/3,HooGee/Hodari,3,2,22,6,1
HooGee/Hodari,Tikka/2,1,4,22,6,1
LoPa/2,FC LP,3,2,22,6,1
KFFK,FC Kirkkonummi/3,1,3,22,6,1
Kilo IF/3,Hukat,2,4,22,6,1
Länsiväylän Dynamo,PEF/KEPU,0,1,22,6,1
PEF/KEPU,KFFK,0,2,22,6,1
HooGee/Hodari,FC LP,0,1,22,6,1
Länsiväylän Dynamo,LoPa/2,1,4,22,6,1
Tikka/2,Kilo IF/3,1,1,22,6,1
FC Kirkkonummi/3,Hukat,4,0,22,6,1
PEF/KEPU,HooGee/Hodari,3,2,22,6,1
LoPa/2,KFFK,2,2,22,6,1
FC LP,FC Kirkkonummi/3,2,5,22,6,1
Tikka/2,Hukat,1,2,22,6,1
FC Kirkkonummi/4,FC Honka/Leopardit,4,0,22,6,2
Kilo IF/1,FC Samba,1,5,22,6,2
NJS/3,LJS/Reservi,3,2,22,6,2
FC Samba,Kasiysi/Rovers,4,1,22,6,2
Vermo Vikings,NJS/3,0,9,22,6,2
LJS/Reservi,Kilo IF/1,0,2,22,6,2
FC Kirkkonummi/4,NJS/3,0,2,22,6,2
FC Honka/Leopardit,LJS/Reservi,0,1,22,6,2
FC Samba,FC Kirkkonummi/4,1,1,22,6,2
Kilo IF/1,Vermo Vikings,7,3,22,6,2
Kasiysi/Rovers,AC Rastaala/2,1,7,22,6,2
Vermo Vikings,FC Kirkkonummi/4,0,2,22,6,2
AC Rastaala/2,Kilo IF/1,0,6,22,6,2
NJS/3,Kasiysi/Rovers,12,0,22,6,2
LJS/Reservi,FC Samba,5,0,22,6,2
FC Kirkkonummi/4,LJS/Reservi,0,3,22,6,2
Kilo IF/1,FC Honka/Leopardit,0,1,22,6,2
FC Samba,AC Rastaala/2,1,0,22,6,2
Kasiysi/Rovers,Vermo Vikings,1,1,22,6,2
FC Honka/Leopardit,Kasiysi/Rovers,6,1,22,6,2
Vermo Vikings,FC Samba,0,5,22,6,2
AC Rastaala/2,NJS/3,0,9,22,6,2
Kilo IF/1,FC Kirkkonummi/4,0,1,22,6,2
FC Kirkkonummi/4,Kasiysi/Rovers,2,0,22,6,2
FC Samba,FC Honka/Leopardit,4,6,22,6,2
Kasiysi/Rovers,LJS/Reservi,1,2,22,6,2
NJS/3,Kilo IF/1,0,1,22,6,2
FC Honka/Leopardit,NJS/3,1,1,22,6,2
Kasiysi/Rovers,Kilo IF/1,1,5,22,6,2
LJS/Reservi,Vermo Vikings,3,0,22,6,2
AC Rastaala/2,LJS/Reservi,0,3,22,6,2
Vermo Vikings,FC Honka/Leopardit,1,4,22,6,2
NJS/3,FC Samba,5,0,22,6,2
FC Honka/Leopardit,FC Kirkkonummi/4,1,2,22,6,2
LJS/Reservi,NJS/3,0,2,22,6,2
FC Samba,Kilo IF/1,5,3,22,6,2
Vermo Vikings,AC Rastaala/2,1,1,22,6,2
AC Rastaala/2,FC Honka/Leopardit,3,3,22,6,2
Kasiysi/Rovers,FC Samba,1,3,22,6,2
NJS/3,Vermo Vikings,3,0,22,6,2
Kilo IF/1,LJS/Reservi,1,2,22,6,2
AC Rastaala/2,Kasiysi/Rovers,3,1,22,6,2
Vermo Vikings,Kilo IF/1,2,1,22,6,2
NJS/3,FC Kirkkonummi/4,0,1,22,6,2
LJS/Reservi,FC Honka/Leopardit,0,3,22,6,2
FC Kirkkonummi/4,Vermo Vikings,1,1,22,6,2
FC Samba,LJS/Reservi,4,2,22,6,2
Kilo IF/1,AC Rastaala/2,3,1,22,6,2
Kasiysi/Rovers,NJS/3,2,4,22,6,2
FC Honka/Leopardit,Kilo IF/1,2,2,22,6,2
Vermo Vikings,Kasiysi/Rovers,5,1,22,6,2
AC Rastaala/2,FC Samba,3,0,22,6,2
LJS/Reservi,FC Kirkkonummi/4,0,4,22,6,2
FC Kirkkonummi/4,Kilo IF/1,9,0,22,6,2
FC Samba,Vermo Vikings,2,1,22,6,2
Kasiysi/Rovers,FC Honka/Leopardit,0,9,22,6,2
NJS/3,AC Rastaala/2,3,1,22,6,2
LJS/Reservi,Kasiysi/Rovers,7,0,22,6,2
Kilo IF/1,NJS/3,0,2,22,6,2
FC Honka/Leopardit,FC Samba,1,8,22,6,2
AC Rastaala/2,FC Kirkkonummi/4,0,5,22,6,2
Vermo Vikings,LJS/Reservi,1,2,22,6,2
Kilo IF/1,Kasiysi/Rovers,7,0,22,6,2
FC Kirkkonummi/4,FC Samba,1,2,22,6,2
NJS/3,FC Honka/Leopardit,2,3,22,6,2
FC Honka/Leopardit,Vermo Vikings,4,2,22,6,2
LJS/Reservi,AC Rastaala/2,2,1,22,6,2
FC Samba,NJS/3,1,2,22,6,2
Kasiysi/Rovers,FC Kirkkonummi/4,0,4,22,6,2
Ponnistus/Peruskallio,HJK/Töölö,5,0,22,6,3
ToTe/Keparoi,FC POHU/Shrimps,4,0,22,6,3
Tavastia/FC Mojo,Arkki,0,5,22,6,3
FC POHU/Shrimps,Trikiinit,1,1,22,6,3
Valtti/3,ToTe/Keparoi,1,1,22,6,3
Trikiinit,Valtti/3,0,1,22,6,3
ToTe/Keparoi,Tavastia/FC Mojo,4,3,22,6,3
HJK/Töölö,FC POHU/Shrimps,1,2,22,6,3
Valtti/3,HJK/Töölö,6,3,22,6,3
ToTe/Keparoi,Arkki,1,2,22,6,3
Tavastia/FC Mojo,Ponnistus/Peruskallio,0,1,22,6,3
HJK/Töölö,Trikiinit,6,2,22,6,3
FC POHU/Shrimps,Tavastia/FC Mojo,0,1,22,6,3
Ponnistus/Peruskallio,Valtti/3,3,1,22,6,3
Trikiinit,ToTe/Keparoi,0,6,22,6,3
Tavastia/FC Mojo,HJK/Töölö,5,3,22,6,3
ToTe/Keparoi,Ponnistus/Peruskallio,0,2,22,6,3
FC POHU/Shrimps,Arkki,1,6,22,6,3
Ponnistus/Peruskallio,FC POHU/Shrimps,5,0,22,6,3
HJK/Töölö,ToTe/Keparoi,0,5,22,6,3
Trikiinit,Arkki,0,7,22,6,3
FC POHU/Shrimps,Valtti/3,1,7,22,6,3
Arkki,HJK/Töölö,4,0,22,6,3
Tavastia/FC Mojo,Trikiinit,1,2,22,6,3
Arkki,Ponnistus/Peruskallio,1,2,22,6,3
Trikiinit,HJK/Töölö,4,2,22,6,3
Tavastia/FC Mojo,Valtti/3,1,4,22,6,3
FC POHU/Shrimps,ToTe/Keparoi,0,1,22,6,3
Valtti/3,Arkki,1,0,22,6,3
Ponnistus/Peruskallio,Trikiinit,4,4,22,6,3
Valtti/3,Tavastia/FC Mojo,2,0,22,6,3
Ponnistus/Peruskallio,Arkki,1,4,22,6,3
ToTe/Keparoi,Valtti/3,1,1,22,6,3
Trikiinit,FC POHU/Shrimps,5,1,22,6,3
Arkki,Tavastia/FC Mojo,7,0,22,6,3
HJK/Töölö,Ponnistus/Peruskallio,2,2,22,6,3
FC POHU/Shrimps,HJK/Töölö,2,1,22,6,3
Valtti/3,Trikiinit,5,1,22,6,3
Tavastia/FC Mojo,ToTe/Keparoi,0,2,22,6,3
Ponnistus/Peruskallio,Tavastia/FC Mojo,3,0,22,6,3
HJK/Töölö,Valtti/3,0,4,22,6,3
Arkki,ToTe/Keparoi,1,0,22,6,3
Valtti/3,Ponnistus/Peruskallio,4,0,22,6,3
Tavastia/FC Mojo,FC POHU/Shrimps,4,0,22,6,3
ToTe/Keparoi,Trikiinit,1,0,22,6,3
HJK/Töölö,Tavastia/FC Mojo,3,6,22,6,3
Arkki,FC POHU/Shrimps,4,0,22,6,3
Ponnistus/Peruskallio,ToTe/Keparoi,1,3,22,6,3
FC POHU/Shrimps,Ponnistus/Peruskallio,1,0,22,6,3
Arkki,Trikiinit,5,1,22,6,3
ToTe/Keparoi,HJK/Töölö,1,1,22,6,3
Valtti/3,FC POHU/Shrimps,4,0,22,6,3
HJK/Töölö,Arkki,0,4,22,6,3
Trikiinit,Tavastia/FC Mojo,3,2,22,6,3
Trikiinit,Ponnistus/Peruskallio,4,2,22,6,3
Arkki,Valtti/3,2,2,22,6,3
Strikers/Bertil,FC Spede,2,0,22,6,4
AC StaSi,Kullervo/Überkleber,3,1,22,6,4
Millbrook FC,HJK/Töölön Ihme,3,1,22,6,4
Strikers/Bertil,FC POHU/Atl Koffari,0,3,22,6,4
Valtti/R.O.U.,HPS/Jägers,1,1,22,6,4
Geishan Pallo,Ruila,2,0,22,6,4
Kullervo/Überkleber,FC Spede,0,0,22,6,4
ToTe/Taiskin Tykit,HeMan,4,0,22,6,4
FC POHU/Atl Koffari,HIFK/3,0,2,22,6,4
Kullervo/Überkleber,Geishan Pallo,1,1,22,6,4
FC Spede,Valtti/R.O.U.,4,1,22,6,4
Ruila,AC StaSi,3,9,22,6,4
Strikers/Bertil,HPS/Jägers,3,1,22,6,4
HerTo/3,Kurvin Vauhti/Partiz,1,1,22,6,4
Valtti/R.O.U.,HIFK/3,1,4,22,6,4
Millbrook FC,ToTe/Taiskin Tykit,1,1,22,6,4
HeMan,HerTo/3,1,3,22,6,4
HPS/Jägers,FC POHU/Atl Koffari,1,7,22,6,4
FC Spede,Ruila,1,3,22,6,4
Kurvin Vauhti/Partiz,Strikers/Bertil,3,1,22,6,4
HJK/Töölön Ihme,ToTe/Taiskin Tykit,2,6,22,6,4
Geishan Pallo,Millbrook FC,2,4,22,6,4
Kullervo/Überkleber,Valtti/R.O.U.,2,2,22,6,4
Ruila,Valtti/R.O.U.,2,3,22,6,4
Millbrook FC,AC StaSi,3,2,22,6,4
HerTo/3,HJK/Töölön Ihme,5,1,22,6,4
Strikers/Bertil,HeMan,0,4,22,6,4
FC POHU/Atl Koffari,Kurvin Vauhti/Partiz,2,1,22,6,4
ToTe/Taiskin Tykit,Geishan Pallo,2,2,22,6,4
HIFK/3,HPS/Jägers,1,0,22,6,4
HJK/Töölön Ihme,Strikers/Bertil,2,2,22,6,4
Geishan Pallo,HerTo/3,1,1,22,6,4
AC StaSi,ToTe/Taiskin Tykit,1,6,22,6,4
Kurvin Vauhti/Partiz,HIFK/3,0,0,22,6,4
FC Spede,Millbrook FC,1,5,22,6,4
Ruila,Kullervo/Überkleber,1,4,22,6,4
HeMan,FC POHU/Atl Koffari,1,1,22,6,4
ToTe/Taiskin Tykit,FC Spede,5,2,22,6,4
Millbrook FC,Ruila,0,3,22,6,4
HerTo/3,AC StaSi,1,2,22,6,4
HPS/Jägers,Kurvin Vauhti/Partiz,1,3,22,6,4
Strikers/Bertil,Geishan Pallo,1,3,22,6,4
FC POHU/Atl Koffari,HJK/Töölön Ihme,3,2,22,6,4
HIFK/3,HeMan,1,2,22,6,4
Valtti/R.O.U.,Kurvin Vauhti/Partiz,2,4,22,6,4
Geishan Pallo,FC POHU/Atl Koffari,4,0,22,6,4
Kullervo/Überkleber,Millbrook FC,1,4,22,6,4
HeMan,HPS/Jägers,2,3,22,6,4
AC StaSi,Strikers/Bertil,5,1,22,6,4
Ruila,ToTe/Taiskin Tykit,1,3,22,6,4
HJK/Töölön Ihme,HIFK/3,2,2,22,6,4
FC Spede,HerTo/3,0,2,22,6,4
ToTe/Taiskin Tykit,Kullervo/Überkleber,6,1,22,6,4
Millbrook FC,Valtti/R.O.U.,2,0,22,6,4
HPS/Jägers,HJK/Töölön Ihme,1,1,22,6,4
Kurvin Vauhti/Partiz,HeMan,2,2,22,6,4
HerTo/3,Ruila,3,1,22,6,4
FC POHU/Atl Koffari,AC StaSi,1,2,22,6,4
HIFK/3,Geishan Pallo,0,0,22,6,4
Ruila,Strikers/Bertil,2,3,22,6,4
Geishan Pallo,HPS/Jägers,1,1,22,6,4
