team_home,team_away,goals_home,goals_away,league_division,season,group
Kasiysi/3,OT-77,1,0,7,25,1
Trikiinit,Cosmos,2,1,7,25,1
Kilo IF/2,Kullervo,1,3,7,25,1
MoPo,FC POHU/Sober,1,5,7,25,1
Kullervo,Trikiinit,1,5,7,25,1
FC POHU/Sober,FC Puimur,2,2,7,25,1
Cosmos,Kasiysi/3,2,1,7,25,1
OT-77,MoPo,0,1,7,25,1
Kasiysi/3,Kullervo,0,4,7,25,1
FC Puimur,Kilo IF/2,1,2,7,25,1
Trikiinit,MoPo,4,1,7,25,1
Cosmos,FC POHU/Sober,2,0,7,25,1
FC POHU/Sober,Kasiysi/3,2,1,7,25,1
Kilo IF/2,Trikiinit,4,6,7,25,1
Kullervo,OT-77,3,2,7,25,1
MoPo,FC Puimur,1,2,7,25,1
OT-77,Kilo IF/2,3,1,7,25,1
Kullervo,MoPo,4,1,7,25,1
FC Puimur,Cosmos,2,1,7,25,1
Trikiinit,FC POHU/Sober,5,0,7,25,1
FC POHU/Sober,Kullervo,0,1,7,25,1
Kilo IF/2,Kasiysi/3,0,2,7,25,1
FC Puimur,Trikiinit,1,3,7,25,1
Cosmos,OT-77,5,0,7,25,1
OT-77,FC POHU/Sober,1,4,7,25,1
MoPo,Kilo IF/2,1,3,7,25,1
Kasiysi/3,FC Puimur,0,2,7,25,1
Kullervo,Cosmos,1,2,7,25,1
OT-77,FC Puimur,0,3,7,25,1
Kasiysi/3,Trikiinit,1,3,7,25,1
Cosmos,MoPo,5,2,7,25,1
FC POHU/Sober,Kilo IF/2,3,1,7,25,1
FC Puimur,Kullervo,0,5,7,25,1
Kilo IF/2,Cosmos,2,5,7,25,1
MoPo,Kasiysi/3,2,2,7,25,1
Trikiinit,OT-77,6,0,7,25,1
FC POHU/Kova Kamppi,Valtti/TDJ,2,5,7,25,2
Käpylän Sekunda,FC Pakila,3,2,7,25,2
Kullervo/Überkleber,HPS/Rangers,0,5,7,25,2
Ponnistus/TK,ToTe/Arabia,3,1,7,25,2
FC Lähiö,Tavastia/FC Mojo,3,1,7,25,2
FC Pakila,Kullervo/Überkleber,2,5,7,25,2
ToTe/Arabia,FC Lähiö,3,4,7,25,2
HPS/Rangers,Ponnistus/TK,2,2,7,25,2
Tavastia/FC Mojo,FC POHU/Kova Kamppi,3,2,7,25,2
Valtti/TDJ,Käpylän Sekunda,2,3,7,25,2
Kullervo/Überkleber,Tavastia/FC Mojo,3,2,7,25,2
Valtti/TDJ,HPS/Rangers,3,0,7,25,2
FC POHU/Kova Kamppi,Kullervo/Überkleber,2,3,7,25,2
Ponnistus/TK,FC Lähiö,0,3,7,25,2
Käpylän Sekunda,Tavastia/FC Mojo,6,2,7,25,2
