team_home,team_away,goals_home,goals_away,season,league_division
Ponnistus/TK,FC POHU/Kova Kamppi,2,2,2025,7
FC POHU/Sober,Kullervo,0,1,2025,7
Kilo IF/2,Kasiysi/3,0,2,2025,7
ToTe/Arabia,Kullervo/Überkleber,3,3,2025,7
PK-35/Äijät,LPS/7,3,0,2025,7
FC Puimur,Trikiinit,1,3,2025,7
Cosmos,OT-77,5,0,2025,7
AC StaSi/Europort,KOPSE/CRPS FC,1,2,2025,7
MLHF/Reserves,AFC EMU,3,2,2025,7
HeKuLa,AC StaSi/Europort,1,6,2025,7
OT-77,FC POHU/Sober,1,4,2025,7
LPS/7,Valtti/4,1,1,2025,7
Tavastia/FC Mojo,Valtti/TDJ,1,2,2025,7
FC Pakila,HPS/Rangers,1,6,2025,7
Kasiysi/3,FC Puimur,0,2,2025,7
MoPo,Kilo IF/2,1,3,2025,7
FC POHU/Kova Kamppi,ToTe/Arabia,3,0,2025,7
Kullervo,Cosmos,1,2,2025,7
Kullervo/Überkleber,FC Lähiö,2,5,2025,7
Käpylän Sekunda,Ponnistus/TK,1,1,2025,7
JJ Vepo,PK-35/Äijät,0,6,2025,7
KOPSE/CRPS FC,AFC EMU,0,6,2025,7
Valtti/TDJ,Kullervo/Überkleber,3,2,2025,7
OT-77,FC Puimur,0,3,2025,7
Kasiysi/3,Trikiinit,1,3,2025,7
Käpylän Sekunda,FC POHU/Kova Kamppi,1,1,2025,7
HeKuLa,Valtti/4,1,1,2025,7
Tavastia/FC Mojo,ToTe/Arabia,5,2,2025,7
LPS/7,MLHF/Reserves,0,0,2025,7
AFC EMU,JJ Vepo,5,1,2025,7
Cosmos,MoPo,5,2,2025,7
AC StaSi/Europort,PK-35/Äijät,1,7,2025,7
HPS/Rangers,FC Lähiö,1,2,2025,7
FC Pakila,Ponnistus/TK,0,6,2025,7
FC POHU/Sober,Kilo IF/2,3,1,2025,7
FC Puimur,Kullervo,0,5,2025,7
Kullervo/Überkleber,Käpylän Sekunda,2,3,2025,7
PK-35/Äijät,AFC EMU,3,1,2025,7
Trikiinit,OT-77,6,0,2025,7
MoPo,Kasiysi/3,2,2,2025,7
MLHF/Reserves,HeKuLa,5,0,2025,7
ToTe/Arabia,HPS/Rangers,1,3,2025,7
Kilo IF/2,Cosmos,2,5,2025,7
FC POHU/Kova Kamppi,FC Pakila,3,2,2025,7
FC Lähiö,Valtti/TDJ,1,1,2025,7
JJ Vepo,LPS/7,1,2,2025,7
Ponnistus/TK,Tavastia/FC Mojo,2,6,2025,7
Valtti/4,KOPSE/CRPS FC,3,0,2025,7
Valtti/4,PK-35/Äijät,2,0,2025,7
OT-77,Tavastia/FC Mojo,4,4,2024,7
FC POHU/Swigu,FC POHU/Sober,8,0,2024,7
FC Lähiö,Tavastia/FC Mojo,4,1,2024,7
Ponnistus/TK,PiTa/II,2,3,2024,7
FC POHU/Swigu,Cosmos,2,0,2024,7
FC Lähiö,OT-77,4,4,2024,7
FC POHU/Sober,Tavastia/FC Mojo,2,2,2024,7
OT-77,FC POHU/Swigu,1,5,2024,7
Kullervo/Überkleber,PK-35/Äijät,4,1,2024,7
FC Pakila,Kullervo,2,4,2024,7
Valtti/4,PiTa/II,1,2,2024,7
JJ Vepo,Kilo IF/2,0,3,2024,7
Käpylän Sekunda,FC POHU/Kova Kamppi,2,3,2024,7
Tavastia/FC Mojo,FC Lähiö,3,2,2024,7
HeKuLa,KOPSE/CRPS FC,0,0,2024,7
Cosmos,FC POHU/Sober,0,0,2024,7
