Squad,1,2,3,4,5,6,7,8,9
Trikiinit,35.3,22.2,15.5,10.8,7.9,4.3999999999999995,2.6,1.0999999999999999,0.2
MLHF/Reserves,27.900000000000002,20.1,15.2,11.5,11.799999999999999,7.1,4.3,2.0,0.1
Valtti/4,14.000000000000002,16.5,18.0,16.400000000000002,13.600000000000001,11.600000000000001,6.2,3.5999999999999996,0.1
PK-35/Äijät,10.299999999999999,15.9,16.5,15.299999999999999,15.0,11.4,9.8,5.5,0.3
Cosmos,6.2,11.0,11.600000000000001,14.7,14.399999999999999,17.1,14.799999999999999,8.9,1.3
Valtti/TDJ,2.5,6.3,7.8,12.9,14.2,15.1,18.2,20.0,3.0
Kullervo,2.5,4.8,7.3,10.2,13.100000000000001,16.400000000000002,18.6,22.5,4.6
FC Lähiö,1.3,3.1,8.1,8.0,9.6,16.3,22.5,25.900000000000002,5.2
Käpylän Sekunda,0.0,0.1,0.0,0.2,0.4,0.6,3.0,10.5,85.2
