Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Barcelona,62.5,36.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Madrid,37.5,61.0,1.4000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Madrid,0.0,0.6,48.5,47.599999999999994,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.0,1.7000000000000002,48.0,44.5,5.6000000000000005,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Betis,0.0,0.0,1.2,7.3999999999999995,70.6,13.100000000000001,4.6,2.1,0.7000000000000001,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celta Vigo,0.0,0.0,0.1,0.2,7.6,25.3,20.7,15.2,12.4,7.3,4.9,3.0,1.7000000000000002,0.8999999999999999,0.4,0.2,0.1,0.0,0.0,0.0
Real Sociedad,0.0,0.0,0.0,0.1,4.3999999999999995,21.099999999999998,19.900000000000002,18.099999999999998,11.200000000000001,8.799999999999999,5.8999999999999995,4.6,2.3,1.6,1.0,0.3,0.4,0.2,0.1,0.0
Espanyol,0.0,0.0,0.0,0.0,3.5999999999999996,17.4,19.0,16.1,14.099999999999998,9.1,8.1,4.9,3.1,1.6,1.3,1.0999999999999999,0.5,0.1,0.0,0.0
Athletic Club,0.0,0.0,0.0,0.0,3.4000000000000004,13.100000000000001,15.5,16.8,15.5,12.0,8.200000000000001,5.7,3.2,2.3,2.0,1.2,0.7000000000000001,0.4,0.0,0.0
Osasuna,0.0,0.0,0.0,0.1,1.0,5.7,9.2,12.0,13.900000000000002,13.200000000000001,11.5,9.1,7.9,6.0,4.1000000000000005,3.3000000000000003,1.7000000000000002,1.2,0.1,0.0
Girona FC,0.0,0.0,0.0,0.0,0.3,1.4000000000000001,2.6,2.8000000000000003,6.3,8.4,11.0,10.5,10.6,8.3,10.4,8.7,6.4,7.5,4.7,0.1
Mallorca,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,1.7999999999999998,3.3000000000000003,4.3999999999999995,5.4,7.199999999999999,11.1,11.700000000000001,11.700000000000001,12.0,9.2,8.200000000000001,7.9,5.3,0.1
Elche,0.0,0.0,0.0,0.0,0.1,0.3,1.5,3.6999999999999997,3.5999999999999996,7.7,8.4,9.700000000000001,9.6,9.2,10.9,10.2,11.700000000000001,7.3999999999999995,5.6000000000000005,0.4
Getafe,0.0,0.0,0.0,0.0,0.1,0.7000000000000001,1.9,2.7,4.3999999999999995,6.0,7.199999999999999,9.9,9.5,11.899999999999999,9.9,11.600000000000001,8.7,8.799999999999999,6.2,0.5
Deportivo Alavés,0.0,0.0,0.0,0.0,0.1,0.7000000000000001,1.2,2.3,3.5999999999999996,6.0,8.3,9.5,10.9,9.8,11.3,9.6,10.299999999999999,8.0,7.8,0.6
Sevilla,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1,5.2,6.6000000000000005,6.800000000000001,8.7,10.299999999999999,8.799999999999999,10.100000000000001,11.3,11.799999999999999,11.1,6.4,0.3
Valencia,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.5,2.0,3.0,4.5,6.3,8.200000000000001,10.5,8.799999999999999,11.3,13.600000000000001,12.5,15.299999999999999,1.2
Rayo Vallecano,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.0999999999999999,1.7999999999999998,4.7,5.2,5.0,7.199999999999999,10.2,11.3,11.3,13.600000000000001,14.399999999999999,12.2,1.5
Levante UD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8999999999999999,1.6,2.7,2.0,3.6999999999999997,7.000000000000001,6.3,10.4,11.4,19.1,28.7,6.0
Real Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.8999999999999999,1.4000000000000001,7.6,89.3
