Squad,1,2,3,4,5,6,7,8,9
MLHF/Reserves,29.099999999999998,23.400000000000002,16.400000000000002,12.6,8.7,5.1,3.1,1.5,0.1
Trikiinit,27.700000000000003,23.599999999999998,16.2,11.0,8.200000000000001,8.6,2.3,2.1999999999999997,0.2
Valtti/4,14.000000000000002,17.299999999999997,18.0,17.299999999999997,14.299999999999999,8.6,7.3,2.4,0.8
PK-35/Äijät,12.4,14.099999999999998,16.1,16.3,13.4,13.600000000000001,8.6,4.7,0.8
Valtti/TDJ,9.2,9.700000000000001,14.499999999999998,15.2,18.5,13.600000000000001,10.9,5.7,2.7
FC Lähiö,6.0,8.3,11.0,15.1,16.2,16.8,14.499999999999998,9.4,2.7
Kullervo,1.0999999999999999,1.9,4.2,8.1,10.6,15.299999999999999,24.7,25.1,9.0
Cosmos,0.5,1.7000000000000002,3.5000000000000004,4.1000000000000005,8.7,15.0,21.3,30.9,14.299999999999999
Käpylän Sekunda,0.0,0.0,0.1,0.3,1.4000000000000001,3.4000000000000004,7.3,18.099999999999998,69.39999999999999
