Squad,1,2,3,4,5,6,7,8,9,10,11,12
Inter Turku,68.4,20.5,8.1,2.9000000000000004,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilves,16.2,34.699999999999996,26.900000000000002,19.3,2.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,8.3,22.3,32.9,30.599999999999998,4.9,0.7000000000000001,0.3,0.0,0.0,0.0,0.0,0.0
HJK,6.9,21.8,29.4,34.0,5.8999999999999995,1.4000000000000001,0.4,0.1,0.1,0.0,0.0,0.0
VPS,0.2,0.3,1.3,6.4,33.900000000000006,26.700000000000003,17.0,8.3,4.0,1.7999999999999998,0.1,0.0
SJK,0.0,0.1,0.7000000000000001,3.1,26.5,28.299999999999997,21.7,13.3,4.3999999999999995,1.3,0.6,0.0
IF Gnistan,0.0,0.3,0.6,3.1,18.9,24.099999999999998,25.7,15.8,8.0,2.8000000000000003,0.6,0.1
Haka,0.0,0.0,0.1,0.6,4.7,11.4,19.0,28.199999999999996,20.599999999999998,11.600000000000001,3.6999999999999997,0.1
FF Jaro,0.0,0.0,0.0,0.0,2.3,5.4,10.299999999999999,18.2,28.1,21.2,12.1,2.4
IFK Mariehamn,0.0,0.0,0.0,0.0,0.2,1.6,4.6,11.1,22.900000000000002,33.900000000000006,22.5,3.2
AC Oulu,0.0,0.0,0.0,0.0,0.0,0.1,1.0,5.0,11.200000000000001,24.0,45.1,13.600000000000001
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,3.4000000000000004,15.299999999999999,80.60000000000001
