Squad,1,2,3,4,5,6,7,8
MK United/Warriors,82.69999999999999,14.099999999999998,2.4,0.6,0.2,0.0,0.0,0.0
Scorpions,13.0,55.00000000000001,19.5,7.7,3.4000000000000004,1.2,0.2,0.0
VAMOL/Myyrmäki,2.5,11.0,23.1,27.900000000000002,19.3,13.0,3.2,0.0
Trikiinit,1.0,11.799999999999999,26.900000000000002,25.3,17.8,12.2,5.0,0.0
FC Viikingit/S.C.P L,0.7000000000000001,5.800000000000001,18.9,21.6,24.3,18.3,10.4,0.0
PK-35/Legendat,0.1,1.0999999999999999,5.2,9.6,18.9,27.500000000000004,37.6,0.0
Ruila,0.0,1.2,4.0,7.3,16.1,27.800000000000004,43.6,0.0
Ariana FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
