Squad,1,2,3,4,5,6,7,8,9
Trikiinit,85.5,9.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Kullervo,8.200000000000001,48.3,33.6,9.4,0.5,0.0,0.0,0.0,0.0
Cosmos,6.3,37.2,35.0,16.3,5.2,0.0,0.0,0.0,0.0
FC Puimur,0.0,3.4000000000000004,18.9,49.8,27.900000000000002,0.0,0.0,0.0,0.0
FC POHU/Sober,0.0,1.3,7.8,24.4,65.10000000000001,1.4000000000000001,0.0,0.0,0.0
Kasiysi/3,0.0,0.0,0.0,0.1,1.2,71.1,20.1,6.9,0.6
OT-77,0.0,0.0,0.0,0.0,0.0,20.0,31.6,18.6,29.799999999999997
Kilo IF/2,0.0,0.0,0.0,0.0,0.1,4.7,21.5,55.300000000000004,18.4
MoPo,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,26.8,19.2,51.2
