Squad,1,2,3,4,5,6,7,8,9
Trikiinit,95.3,3.5000000000000004,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Kullervo,3.5000000000000004,67.0,23.599999999999998,5.6000000000000005,0.3,0.0,0.0,0.0,0.0
Cosmos,1.2,22.5,46.6,23.5,5.7,0.5,0.0,0.0,0.0
FC Puimur,0.0,5.8999999999999995,21.7,51.0,19.5,1.9,0.0,0.0,0.0
FC POHU/Sober,0.0,1.0999999999999999,6.5,18.0,56.00000000000001,16.0,1.9,0.5,0.0
Kasiysi/3,0.0,0.0,0.4,1.9,17.9,64.8,12.6,2.4,0.0
Kilo IF/2,0.0,0.0,0.0,0.0,0.3,11.799999999999999,63.9,22.6,1.4000000000000001
MoPo,0.0,0.0,0.0,0.0,0.3,5.0,20.599999999999998,67.9,6.2
OT-77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6000000000000005,92.4
