Squad,1,2,3,4,5,6,7,8,9,10,11,12
Inter Turku,57.9,25.1,10.9,5.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilves,29.099999999999998,35.099999999999994,19.1,14.899999999999999,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,6.9,21.6,35.6,26.1,9.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
HJK,5.7,17.599999999999998,28.499999999999996,36.8,10.7,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
SJK,0.4,0.6,5.8999999999999995,16.2,64.5,10.100000000000001,1.9,0.4,0.0,0.0,0.0,0.0
VPS,0.0,0.0,0.0,0.5,6.800000000000001,40.400000000000006,27.200000000000003,16.5,6.6000000000000005,1.5,0.5,0.0
IF Gnistan,0.0,0.0,0.0,0.4,4.9,27.700000000000003,31.5,20.4,8.4,6.0,0.7000000000000001,0.0
Haka,0.0,0.0,0.0,0.0,0.8,11.0,21.2,24.5,22.3,16.1,3.5000000000000004,0.6
FF Jaro,0.0,0.0,0.0,0.0,0.2,6.7,11.200000000000001,20.599999999999998,28.4,24.2,8.1,0.6
IFK Mariehamn,0.0,0.0,0.0,0.0,0.0,2.9000000000000004,6.2,15.2,27.200000000000003,32.6,13.200000000000001,2.7
AC Oulu,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1999999999999997,6.3,15.0,50.5,25.2
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.6,23.5,70.89999999999999
