Squad,1,2,3,4,5,6,7,8
MK United/Warriors,67.7,23.3,7.6,1.2,0.2,0.0,0.0,0.0
VAMOL/Myyrmäki,19.8,42.199999999999996,28.4,7.3999999999999995,1.7999999999999998,0.3,0.1,0.0
Scorpions,11.3,28.499999999999996,42.3,12.7,4.0,0.8999999999999999,0.3,0.0
Trikiinit,0.8,4.3999999999999995,12.5,37.9,28.4,11.799999999999999,4.2,0.0
FC Viikingit/S.C.P L,0.4,1.3,7.199999999999999,28.000000000000004,33.300000000000004,20.3,9.5,0.0
PK-35/Legendat,0.0,0.2,1.6,8.4,20.9,38.1,30.8,0.0
Ruila,0.0,0.1,0.4,4.3999999999999995,11.4,28.599999999999998,55.1,0.0
Ariana FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
