Squad,1,2,3,4,5,6,7,8,9
MLHF/Reserves,36.4,23.799999999999997,13.8,11.0,7.000000000000001,4.7,2.5,0.8,0.0
Valtti/4,18.099999999999998,18.4,17.8,16.1,12.3,9.9,4.1000000000000005,2.1999999999999997,1.0999999999999999
PK-35/Äijät,18.0,17.599999999999998,16.900000000000002,14.399999999999999,12.2,10.4,5.3,4.7,0.5
Valtti/TDJ,12.1,13.4,17.5,14.899999999999999,14.299999999999999,12.2,8.3,5.8999999999999995,1.4000000000000001
FC Lähiö,8.0,11.700000000000001,15.0,14.799999999999999,17.5,14.099999999999998,11.4,5.2,2.3
Trikiinit,5.800000000000001,10.7,11.4,15.1,15.4,18.3,12.8,8.200000000000001,2.3
Kullervo,1.0,2.7,4.2,7.3999999999999995,10.299999999999999,15.6,23.799999999999997,22.0,13.0
Cosmos,0.6,1.6,3.1,5.1,8.4,11.200000000000001,21.8,28.799999999999997,19.400000000000002
Käpylän Sekunda,0.0,0.1,0.3,1.2,2.6,3.5999999999999996,10.0,22.2,60.0
