Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,0.1,89.0,8.7,1.7999999999999998,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,0.0,3.5999999999999996,45.300000000000004,28.999999999999996,17.299999999999997,4.0,0.7000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.0,3.3000000000000003,24.2,27.3,26.3,16.0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,0.0,3.4000000000000004,16.1,26.700000000000003,30.599999999999998,19.0,4.1000000000000005,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.6,5.4,13.600000000000001,21.9,41.099999999999994,16.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.0,0.3,1.6,3.5000000000000004,18.9,59.5,11.799999999999999,3.5999999999999996,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,7.199999999999999,38.2,27.0,17.299999999999997,7.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.0,0.3,5.6000000000000005,21.0,27.0,24.2,18.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,13.200000000000001,22.1,31.2,27.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,14.7,19.2,23.1,30.599999999999998,10.0,0.7000000000000001,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0999999999999999,3.5000000000000004,13.900000000000002,60.4,13.200000000000001,4.8,2.1,0.7000000000000001,0.0,0.0,0.0,0.0
Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0999999999999999,8.7,23.599999999999998,24.099999999999998,22.400000000000002,17.5,2.5,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.1,22.5,23.3,25.6,19.7,5.7,0.0,0.0,0.0
Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,5.7,22.0,24.5,18.2,17.4,11.700000000000001,0.0,0.0,0.0
Manchester Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.3,15.9,18.2,21.0,25.6,16.900000000000002,0.0,0.0,0.0
West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,4.9,10.6,19.1,63.2,0.0,0.0,0.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.60000000000001,10.4,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,89.2,0.4
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,99.6
