Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,76.9,17.2,4.1000000000000005,1.2,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,10.4,33.800000000000004,22.900000000000002,14.099999999999998,9.0,5.2,1.7000000000000002,1.0999999999999999,1.0,0.3,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,9.8,30.0,25.3,14.099999999999998,8.4,5.0,2.6,1.7000000000000002,1.3,1.0,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,1.4000000000000001,7.3,14.499999999999998,18.8,15.1,10.9,10.8,6.800000000000001,4.7,3.9,2.3,1.7000000000000002,1.2,0.4,0.1,0.1,0.0,0.0,0.0,0.0
Sunderland,0.8999999999999999,4.7,9.8,14.099999999999998,14.299999999999999,12.8,12.2,9.700000000000001,8.200000000000001,5.3,3.8,2.0,0.8999999999999999,0.8999999999999999,0.3,0.1,0.0,0.0,0.0,0.0
Crystal Palace,0.1,3.5000000000000004,8.6,10.7,13.5,12.0,12.5,8.6,9.4,7.7,5.7,3.5000000000000004,2.5,1.2,0.3,0.2,0.0,0.0,0.0,0.0
AFC Bournemouth,0.3,1.6,5.6000000000000005,8.799999999999999,11.200000000000001,13.0,10.5,12.3,9.6,8.0,7.3,4.6,3.2,1.7999999999999998,1.6,0.5,0.1,0.0,0.0,0.0
Aston Villa,0.1,0.4,2.4,3.8,7.000000000000001,9.3,10.299999999999999,9.6,11.799999999999999,9.4,10.0,7.3,8.1,6.5,2.7,1.0,0.0,0.2,0.1,0.0
Newcastle United,0.0,0.2,2.0,4.0,5.2,8.1,8.3,10.8,10.299999999999999,10.2,9.8,10.2,8.7,6.4,3.8,1.6,0.4,0.0,0.0,0.0
Brentford,0.0,0.7000000000000001,2.1999999999999997,3.6999999999999997,4.9,6.800000000000001,8.6,10.4,8.7,10.4,10.100000000000001,10.8,7.3,8.6,4.5,1.9,0.4,0.0,0.0,0.0
Manchester United,0.0,0.2,0.7000000000000001,2.0,3.4000000000000004,4.6,8.1,8.3,9.2,10.7,11.700000000000001,12.5,12.7,7.9,5.800000000000001,1.6,0.4,0.1,0.1,0.0
Brighton & Hove Albion,0.0,0.2,1.0,3.0,3.4000000000000004,5.4,5.5,8.200000000000001,9.8,10.8,10.6,11.899999999999999,10.6,8.799999999999999,7.3,2.0,1.2,0.2,0.1,0.0
Everton,0.1,0.2,0.3,1.3,2.6,3.4000000000000004,4.8,6.3,8.0,10.4,9.700000000000001,12.6,14.899999999999999,11.0,9.4,2.8000000000000003,1.6,0.3,0.3,0.0
Tottenham Hotspur,0.0,0.0,0.4,0.4,1.5,2.9000000000000004,3.0,5.2,6.0,8.5,10.9,12.8,12.3,15.2,11.4,6.6000000000000005,2.1999999999999997,0.7000000000000001,0.0,0.0
Fulham,0.0,0.0,0.2,0.0,0.2,0.4,0.8999999999999999,0.8,1.2,2.4,4.9,6.3,10.4,16.8,20.599999999999998,16.900000000000002,9.3,5.7,2.6,0.4
Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7000000000000001,0.6,1.6,2.4,4.0,7.1,13.900000000000002,23.799999999999997,19.5,13.8,9.6,2.8000000000000003
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.8999999999999999,1.6,3.3000000000000003,7.6,16.5,24.7,23.400000000000002,15.7,5.4
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.3,1.0999999999999999,3.0,7.5,16.0,23.200000000000003,23.799999999999997,17.5,7.1
Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,1.0,2.8000000000000003,7.000000000000001,13.5,23.200000000000003,35.4,16.8
Wolverhampton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4000000000000001,3.5000000000000004,8.6,18.6,67.5
