Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,0.0,90.60000000000001,7.199999999999999,1.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,0.0,3.4000000000000004,44.4,31.4,15.1,5.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.0,3.3000000000000003,26.0,27.6,25.900000000000002,14.099999999999998,2.9000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,0.0,2.3,15.8,27.800000000000004,31.2,19.7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.4,6.4,11.0,22.400000000000002,43.7,15.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.0,0.2,0.6,4.8,16.8,67.4,7.8,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,2.6,29.4,30.599999999999998,22.1,12.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.0,0.3,4.6,25.0,25.4,22.2,19.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.2,1.9,18.5,23.200000000000003,25.900000000000002,24.4,5.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.5,17.8,22.900000000000002,30.4,8.7,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,6.3,12.3,61.1,11.899999999999999,5.0,1.6,0.4,0.0,0.0,0.0,0.0
Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,7.6,29.099999999999998,23.5,20.5,15.8,2.9000000000000004,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,24.099999999999998,25.5,21.5,18.8,5.8999999999999995,0.0,0.0,0.0
Manchester Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.6999999999999997,16.1,20.599999999999998,24.099999999999998,24.7,10.6,0.0,0.0,0.0
Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,15.7,19.2,22.900000000000002,21.0,18.0,0.0,0.0,0.0
West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4,6.2,9.4,19.3,62.6,0.0,0.0,0.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,14.799999999999999,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.799999999999999,84.5,0.7000000000000001
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,99.3
