Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,82.69999999999999,17.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,17.299999999999997,82.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester United,0.0,0.2,50.2,32.300000000000004,14.299999999999999,2.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.0,24.5,34.699999999999996,31.4,6.7,1.9,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,0.0,0.0,24.7,30.4,32.4,7.3999999999999995,3.0,1.0999999999999999,0.2,0.3,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.0,0.3,1.0999999999999999,8.6,25.6,19.400000000000002,14.099999999999998,11.4,8.5,6.0,4.1000000000000005,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Brighton & Hove Albion,0.0,0.0,0.0,0.4,3.5999999999999996,11.200000000000001,15.9,16.7,14.499999999999998,13.100000000000001,8.5,6.800000000000001,5.8999999999999995,2.5,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.1,2.8000000000000003,13.5,13.900000000000002,16.900000000000002,13.5,12.9,10.2,8.3,3.9,3.4000000000000004,0.6,0.0,0.0,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.7000000000000001,2.3,10.7,15.2,13.600000000000001,13.100000000000001,13.8,11.600000000000001,10.2,6.5,1.9,0.4,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.1,1.7999999999999998,9.2,13.600000000000001,14.399999999999999,17.0,15.0,13.0,8.5,4.8,2.3,0.3,0.0,0.0,0.0,0.0,0.0
Sunderland,0.0,0.0,0.1,0.2,2.4,10.299999999999999,10.4,11.4,12.5,13.5,12.9,12.4,8.6,4.3999999999999995,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.4,1.3,2.7,5.7,8.9,9.4,14.399999999999999,16.7,18.5,14.799999999999999,6.800000000000001,0.4,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,1.3,2.4,3.8,4.3,6.9,10.9,13.8,19.7,21.8,12.8,2.1999999999999997,0.1,0.0,0.0,0.0
Newcastle United,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4000000000000001,4.2,5.5,8.799999999999999,14.099999999999998,20.8,24.9,15.9,2.8000000000000003,0.2,0.0,0.0,0.0
Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,1.0999999999999999,3.3000000000000003,4.8,10.100000000000001,20.3,47.0,11.0,1.7000000000000002,0.2,0.0,0.0
Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,2.9000000000000004,10.2,54.1,22.5,9.5,0.0,0.0
Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.1999999999999997,17.8,37.0,42.8,0.0,0.0
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7999999999999998,11.700000000000001,38.5,47.5,0.0,0.0
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7,31.3
Wolverhampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,68.7
