Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Inter,93.0,5.5,1.0999999999999999,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan,3.9,40.6,25.1,14.099999999999998,10.100000000000001,5.0,0.8999999999999999,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napoli,1.5,21.4,25.1,22.5,15.1,10.6,3.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juventus,1.0,14.499999999999998,17.7,21.9,20.1,16.400000000000002,7.3,0.8999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roma,0.6,13.100000000000001,20.5,19.400000000000002,21.9,14.799999999999999,8.200000000000001,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Como,0.0,4.2,8.1,14.899999999999999,19.6,27.500000000000004,20.7,4.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atalanta,0.0,0.7000000000000001,2.3,6.7,11.700000000000001,19.5,40.5,14.6,3.4000000000000004,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,0.0,0.0,0.1,0.3,1.0,4.7,11.799999999999999,40.400000000000006,27.3,8.7,3.2,1.4000000000000001,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0
Lazio,0.0,0.0,0.0,0.0,0.4,1.4000000000000001,6.2,29.9,39.900000000000006,13.100000000000001,5.0,2.0,1.2,0.6,0.2,0.1,0.0,0.0,0.0,0.0
Udinese,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,3.6999999999999997,8.9,21.6,17.7,13.3,11.899999999999999,9.6,6.0,4.3999999999999995,2.1,0.1,0.0,0.0
Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4000000000000001,7.3999999999999995,15.1,17.1,16.3,12.6,11.5,8.9,5.0,3.2,1.0999999999999999,0.1,0.0
Sassuolo,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8999999999999999,5.8999999999999995,15.1,16.1,15.7,15.7,11.5,9.2,5.3,4.2,0.3,0.0,0.0
Torino,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.9000000000000004,11.0,13.8,15.0,13.3,11.0,11.0,11.899999999999999,7.7,1.2,0.1,0.0
Genoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,6.0,8.3,10.100000000000001,13.700000000000001,14.899999999999999,15.4,12.8,13.3,3.9,0.5,0.1
Fiorentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8999999999999999,3.6999999999999997,6.9,9.2,11.5,12.0,15.9,15.9,16.7,5.800000000000001,1.0,0.2
Parma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,3.2,5.6000000000000005,10.100000000000001,9.6,12.8,13.100000000000001,19.5,17.2,6.6000000000000005,1.4000000000000001,0.2
Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8999999999999999,2.1,6.1,6.7,9.700000000000001,15.299999999999999,17.1,18.3,16.900000000000002,5.2,1.4000000000000001,0.2
Lecce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,2.4,4.5,11.600000000000001,40.5,28.000000000000004,12.2
Pisa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7000000000000002,3.8,18.8,34.699999999999996,40.5
Hellas Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.6,3.3000000000000003,16.5,32.800000000000004,46.6
