Squad,1,2,3,4,5,6,7,8,9
Trikiinit,86.9,7.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Kullervo,6.5,48.4,35.099999999999994,8.9,1.0999999999999999,0.0,0.0,0.0,0.0
Cosmos,6.6000000000000005,39.900000000000006,33.5,16.1,3.9,0.0,0.0,0.0,0.0
FC Puimur,0.0,2.8000000000000003,18.2,46.6,32.300000000000004,0.1,0.0,0.0,0.0
FC POHU/Sober,0.0,1.0999999999999999,7.9,28.199999999999996,60.9,1.7999999999999998,0.1,0.0,0.0
Kasiysi/3,0.0,0.0,0.0,0.2,1.6,70.1,21.4,6.0,0.7000000000000001
OT-77,0.0,0.0,0.0,0.0,0.0,21.6,29.7,19.7,28.999999999999996
Kilo IF/2,0.0,0.0,0.0,0.0,0.1,4.0,22.8,52.2,20.9
MoPo,0.0,0.0,0.0,0.0,0.1,2.4,26.0,22.1,49.4
