Squad,1,2,3,4,5,6,7,8,9,10,11,12
KuPS,51.2,28.000000000000004,15.9,3.9,0.8999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Ilves,29.5,35.199999999999996,23.5,7.5,3.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Inter Turku,16.2,27.0,34.9,13.4,4.5,2.4,1.0999999999999999,0.4,0.0,0.1,0.0,0.0
HJK,1.2,4.8,9.0,30.099999999999998,24.7,14.099999999999998,8.200000000000001,4.5,2.3,0.8999999999999999,0.2,0.0
SJK,1.4000000000000001,4.1000000000000005,11.4,22.1,24.0,17.1,11.0,5.3,2.7,0.8999999999999999,0.0,0.0
FF Jaro,0.3,0.3,2.6,10.5,16.8,19.6,18.8,13.900000000000002,11.0,5.2,0.8999999999999999,0.1
IF Gnistan,0.0,0.3,0.7000000000000001,4.2,9.6,14.399999999999999,18.3,18.9,18.4,10.8,3.2,1.2
Haka,0.0,0.2,1.0999999999999999,4.5,8.5,14.099999999999998,19.2,19.6,16.6,10.5,5.2,0.5
VPS,0.2,0.1,0.8,3.6999999999999997,6.5,13.900000000000002,18.2,20.9,18.8,9.9,6.1,0.8999999999999999
AC Oulu,0.0,0.0,0.1,0.1,0.8,1.4000000000000001,2.5,9.0,13.4,28.4,33.900000000000006,10.4
IFK Mariehamn,0.0,0.0,0.0,0.0,0.6,1.7000000000000002,2.7,7.1,15.9,28.599999999999998,33.4,10.0
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8999999999999999,4.7,17.1,76.9
