Squad,1,2,3,4,5,6,7,8,9,10
FC ST4Y,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tavastia,0.0,60.199999999999996,37.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0
FC POHU/United,0.0,39.800000000000004,55.300000000000004,4.9,0.0,0.0,0.0,0.0,0.0,0.0
PETO,0.0,0.0,7.199999999999999,92.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0
FC Pehmeet ja Märät,0.0,0.0,0.0,0.0,59.199999999999996,26.400000000000002,14.399999999999999,0.0,0.0,0.0
Vesa/Töölö,0.0,0.0,0.0,0.0,39.300000000000004,59.4,1.3,0.0,0.0,0.0
HIFK/2,0.0,0.0,0.0,0.0,1.5,14.2,84.2,0.1,0.0,0.0
ToTe/Keparoi,0.0,0.0,0.0,0.0,0.0,0.0,0.1,95.6,4.3,0.0
FC POHU/Simpsons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,95.7,0.0
PPJ/LeJa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
