Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,64.7,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,35.3,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester United,0.0,0.0,38.1,31.2,27.3,3.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.0,30.099999999999998,38.4,30.0,1.4000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,0.0,0.0,31.8,29.4,32.7,4.9,1.0999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.0,0.0,0.4,4.6,33.0,20.599999999999998,14.6,9.8,8.0,4.6,2.1999999999999997,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton & Hove Albion,0.0,0.0,0.0,0.2,2.1999999999999997,14.499999999999998,17.0,16.1,15.0,12.9,9.700000000000001,6.6000000000000005,3.5999999999999996,1.3,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.2,0.8,14.7,18.0,14.7,14.399999999999999,12.2,11.200000000000001,6.7,4.7,1.9,0.4,0.1,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.1,1.7000000000000002,12.1,15.0,17.4,14.899999999999999,13.900000000000002,8.9,7.6,5.6000000000000005,2.3,0.5,0.0,0.0,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.1,0.3,5.8999999999999995,11.799999999999999,13.900000000000002,13.700000000000001,13.200000000000001,14.6,11.600000000000001,9.4,4.2,1.3,0.0,0.0,0.0,0.0,0.0
Sunderland,0.0,0.0,0.0,0.0,0.3,6.2,8.3,9.5,13.0,13.8,15.5,15.2,10.5,5.800000000000001,1.7000000000000002,0.2,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.0,2.4,2.8000000000000003,5.800000000000001,8.7,11.799999999999999,13.900000000000002,17.1,16.0,14.099999999999998,6.9,0.5,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.1,1.4000000000000001,3.2,5.5,6.2,7.7,9.6,13.0,15.7,20.1,15.1,2.1999999999999997,0.2,0.0,0.0,0.0
Newcastle United,0.0,0.0,0.0,0.0,0.0,0.4,1.7999999999999998,2.1,4.0,5.5,8.3,14.399999999999999,18.3,24.7,16.6,3.5999999999999996,0.2,0.1,0.0,0.0
Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,3.6999999999999997,5.2,13.5,20.3,40.400000000000006,13.100000000000001,1.7999999999999998,0.4,0.0,0.0
Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4000000000000001,3.8,12.5,60.3,17.7,3.9,0.0,0.0
Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,11.200000000000001,39.300000000000004,47.699999999999996,0.0,0.0
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.1999999999999997,8.799999999999999,40.8,47.9,0.0,0.0
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,42.6
Wolverhampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,57.4
