Squad,1,2,3,4,5,6,7,8,9,10,11,12
Inter Turku,66.8,19.7,8.6,4.3999999999999995,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,13.200000000000001,26.1,27.800000000000004,25.4,5.4,1.6,0.5,0.0,0.0,0.0,0.0,0.0
HJK,11.4,27.6,25.5,25.7,7.199999999999999,1.5,1.0,0.1,0.0,0.0,0.0,0.0
Ilves,8.5,25.0,31.6,23.0,8.200000000000001,2.7,0.8,0.2,0.0,0.0,0.0,0.0
VPS,0.1,1.3,3.2,11.3,35.5,25.8,13.5,6.0,2.4,0.8999999999999999,0.0,0.0
IF Gnistan,0.0,0.1,1.6,4.9,20.8,24.5,27.700000000000003,12.9,5.1,1.7000000000000002,0.7000000000000001,0.0
SJK,0.0,0.2,1.2,4.3999999999999995,17.299999999999997,30.9,24.6,14.399999999999999,4.9,1.7999999999999998,0.3,0.0
Haka,0.0,0.0,0.4,0.6,2.3,5.8999999999999995,12.2,24.4,21.6,22.5,8.6,1.5
FF Jaro,0.0,0.0,0.0,0.1,2.1999999999999997,5.4,11.5,23.0,28.000000000000004,18.4,10.299999999999999,1.0999999999999999
IFK Mariehamn,0.0,0.0,0.1,0.2,0.5,1.3,6.5,14.000000000000002,25.7,30.3,18.9,2.5
AC Oulu,0.0,0.0,0.0,0.0,0.1,0.4,1.6,5.0,11.200000000000001,20.1,47.099999999999994,14.499999999999998
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0999999999999999,4.3,14.099999999999998,80.4
