Squad,1,2,3,4,5,6,7,8,9,10,11,12
KuPS,48.199999999999996,28.9,16.3,5.0,1.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0
Ilves,29.9,34.1,24.3,8.5,2.8000000000000003,0.3,0.1,0.0,0.0,0.0,0.0,0.0
Inter Turku,19.6,29.2,31.5,12.4,4.9,1.5,0.8,0.1,0.0,0.0,0.0,0.0
SJK,1.0999999999999999,3.5000000000000004,12.2,28.499999999999996,24.5,14.7,8.1,5.2,1.7000000000000002,0.3,0.2,0.0
HJK,1.0999999999999999,2.7,9.700000000000001,23.200000000000003,24.6,18.5,9.3,5.6000000000000005,3.6999999999999997,1.6,0.0,0.0
FF Jaro,0.0,0.8999999999999999,3.1,9.700000000000001,15.8,21.5,18.7,14.099999999999998,9.6,5.4,0.8999999999999999,0.3
VPS,0.0,0.2,1.0,5.8999999999999995,10.100000000000001,15.0,18.3,18.3,15.0,10.299999999999999,5.3,0.6
Haka,0.1,0.4,1.3,3.9,8.0,15.2,19.900000000000002,20.4,15.8,9.8,4.9,0.3
IF Gnistan,0.0,0.0,0.5,2.4,6.6000000000000005,8.9,14.7,16.7,20.9,15.8,11.0,2.5
IFK Mariehamn,0.0,0.1,0.1,0.3,1.0,2.8000000000000003,6.1,11.4,15.6,26.200000000000003,28.7,7.7
AC Oulu,0.0,0.0,0.0,0.2,0.5,1.2,3.8,8.1,16.7,26.400000000000002,31.7,11.4
KTP,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,4.2,17.299999999999997,77.2
