Squad,1,2,3,4,5,6,7,8,9,10,11,12
Ilves,49.6,29.299999999999997,15.299999999999999,5.0,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0
KuPS,32.5,33.1,21.6,8.799999999999999,2.7,0.8999999999999999,0.4,0.0,0.0,0.0,0.0,0.0
Inter Turku,15.5,28.7,33.6,13.100000000000001,6.5,2.1,0.5,0.0,0.0,0.0,0.0,0.0
SJK,1.3,5.800000000000001,13.900000000000002,31.3,24.0,12.2,7.199999999999999,2.3,1.4000000000000001,0.3,0.3,0.0
HJK,1.0999999999999999,2.7,10.2,22.0,27.6,15.7,10.299999999999999,5.800000000000001,2.3,1.7000000000000002,0.5,0.1
Haka,0.0,0.3,2.3,8.1,14.499999999999998,23.400000000000002,18.6,13.8,11.4,5.3,1.6,0.7000000000000001
FF Jaro,0.0,0.0,2.3,6.3,11.5,15.6,20.200000000000003,17.2,13.5,7.5,3.9,2.0
IF Gnistan,0.0,0.0,0.3,2.8000000000000003,6.2,12.4,15.0,19.8,18.2,14.099999999999998,8.0,3.2
VPS,0.0,0.1,0.5,2.0,4.5,9.9,15.8,19.1,18.9,15.8,9.700000000000001,3.6999999999999997
IFK Mariehamn,0.0,0.0,0.0,0.6,1.6,4.8,7.3,11.5,17.0,23.7,21.2,12.3
AC Oulu,0.0,0.0,0.0,0.0,0.3,1.3,2.9000000000000004,5.0,9.2,16.3,26.700000000000003,38.3
KTP,0.0,0.0,0.0,0.0,0.0,1.6,1.7000000000000002,5.5,8.1,15.299999999999999,28.1,39.7
