Squad,1,2,3,4,5,6,7,8,9
Trikiinit,90.10000000000001,9.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0
FC Lähiö,9.3,64.7,17.4,6.2,1.7000000000000002,0.6,0.1,0.0,0.0
Valtti/TDJ,0.6,16.1,33.4,24.7,13.8,6.9,3.9,0.6,0.0
MLHF/Reserves,0.0,5.4,25.8,30.5,20.7,8.799999999999999,5.1,2.4,1.3
PK-35/Äijät,0.0,2.4,13.100000000000001,18.5,23.5,22.1,13.900000000000002,5.5,1.0
Kullervo,0.0,1.3,3.5999999999999996,8.3,17.2,21.2,18.4,19.2,10.8
Valtti/4,0.0,0.6,3.8,7.1,12.9,21.0,21.8,19.0,13.8
Cosmos,0.0,0.5,2.0,3.8,8.200000000000001,13.200000000000001,23.200000000000003,27.1,22.0
Käpylän Sekunda,0.0,0.0,0.1,0.8,2.0,6.2,13.600000000000001,26.200000000000003,51.1
