Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Real Madrid,57.099999999999994,42.199999999999996,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelona,42.9,56.10000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.0,1.0999999999999999,52.900000000000006,38.1,7.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Madrid,0.0,0.6,42.1,47.599999999999994,9.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Betis,0.0,0.0,3.3000000000000003,13.4,68.5,10.0,2.5,1.2,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celta Vigo,0.0,0.0,0.0,0.4,6.0,29.599999999999998,18.6,15.4,11.0,7.3,4.5,3.5000000000000004,1.7999999999999998,1.0,0.6,0.1,0.1,0.0,0.1,0.0
Athletic Club,0.0,0.0,0.0,0.1,3.0,19.2,15.5,17.8,12.1,9.9,8.0,5.3,3.9,2.1999999999999997,1.0999999999999999,0.8,1.0,0.1,0.0,0.0
Espanyol,0.0,0.0,0.1,0.1,2.4,12.4,20.200000000000003,15.4,14.000000000000002,11.600000000000001,7.000000000000001,4.7,4.8,3.1,1.7000000000000002,1.7999999999999998,0.7000000000000001,0.0,0.0,0.0
Real Sociedad,0.0,0.0,0.0,0.2,2.1,13.200000000000001,17.1,16.8,14.2,11.1,8.4,6.2,3.9,3.1,2.0,0.8,0.7000000000000001,0.2,0.0,0.0
Osasuna,0.0,0.0,0.0,0.0,0.4,7.1,10.6,11.1,13.0,11.899999999999999,12.9,12.0,6.6000000000000005,4.7,3.5000000000000004,2.8000000000000003,1.7000000000000002,1.4000000000000001,0.3,0.0
Girona FC,0.0,0.0,0.0,0.0,0.3,3.3000000000000003,6.1,7.7,9.6,10.7,11.0,10.5,9.8,9.5,6.800000000000001,6.4,5.0,2.8000000000000003,0.5,0.0
Getafe,0.0,0.0,0.0,0.0,0.2,1.0999999999999999,3.1,4.3,5.6000000000000005,10.2,8.0,9.8,13.200000000000001,12.3,9.700000000000001,9.1,6.800000000000001,5.1,1.4000000000000001,0.1
Rayo Vallecano,0.0,0.0,0.0,0.0,0.1,0.8,1.3,2.8000000000000003,4.6,6.3,7.9,8.9,11.700000000000001,12.4,9.9,11.4,9.9,7.5,4.3999999999999995,0.1
Elche,0.0,0.0,0.0,0.0,0.2,0.7000000000000001,1.0999999999999999,1.7999999999999998,3.5999999999999996,6.0,7.6,9.700000000000001,9.4,9.5,13.4,10.299999999999999,12.3,9.6,4.6,0.2
Valencia,0.0,0.0,0.0,0.0,0.1,0.2,1.7999999999999998,2.0,3.5000000000000004,5.1,6.7,7.1,9.3,8.6,11.799999999999999,12.1,11.899999999999999,11.799999999999999,7.8,0.2
Deportivo Alavés,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.4000000000000001,3.8,3.4000000000000004,7.5,7.9,8.0,11.0,11.899999999999999,11.200000000000001,13.3,12.8,6.2,0.1
Sevilla,0.0,0.0,0.0,0.0,0.0,0.4,0.7000000000000001,1.0999999999999999,2.1999999999999997,2.7,4.5,6.800000000000001,8.200000000000001,10.0,13.100000000000001,14.099999999999998,13.900000000000002,13.8,8.0,0.5
Mallorca,0.0,0.0,0.0,0.0,0.0,0.8,0.2,1.2,1.7999999999999998,3.5000000000000004,5.5,6.6000000000000005,8.3,9.9,10.0,13.700000000000001,13.0,15.7,9.2,0.6
Levante UD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,1.0,1.0,2.7,4.3,5.1,9.2,17.9,48.9,9.2
Real Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.3,0.5,1.3,8.6,89.0
