Squad,1,2,3,4,5,6,7,8,9,10,11,12
KuPS,63.800000000000004,25.1,8.9,1.7999999999999998,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Inter Turku,26.5,42.0,21.9,7.000000000000001,2.1999999999999997,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Ilves,6.5,22.400000000000002,37.9,22.8,6.6000000000000005,2.8000000000000003,0.8,0.2,0.0,0.0,0.0,0.0
HJK,3.0,9.700000000000001,23.7,38.2,13.600000000000001,6.800000000000001,3.5999999999999996,0.8999999999999999,0.4,0.1,0.0,0.0
SJK,0.1,0.5,3.8,13.5,25.8,24.9,16.8,8.799999999999999,4.5,1.2,0.1,0.0
IF Gnistan,0.1,0.3,2.0,7.9,25.3,25.2,15.6,12.1,8.4,2.6,0.5,0.0
VPS,0.0,0.0,1.2,5.2,15.4,14.899999999999999,23.0,18.6,14.000000000000002,6.5,1.0999999999999999,0.1
Haka,0.0,0.0,0.3,2.6,6.2,13.100000000000001,17.4,19.8,19.6,15.7,4.6,0.7000000000000001
FF Jaro,0.0,0.0,0.3,0.6,2.8000000000000003,6.4,10.9,17.1,22.7,28.000000000000004,9.700000000000001,1.5
IFK Mariehamn,0.0,0.0,0.0,0.4,1.6,5.0,11.0,18.3,23.9,26.400000000000002,11.4,2.0
AC Oulu,0.0,0.0,0.0,0.0,0.3,0.3,0.8999999999999999,3.6999999999999997,5.6000000000000005,16.900000000000002,53.6,18.7
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8999999999999999,2.6,19.0,77.0
