Squad,1,2,3,4,5,6,7,8,9
Trikiinit,87.4,11.5,0.8999999999999999,0.2,0.0,0.0,0.0,0.0,0.0
FC Lähiö,9.9,57.4,20.9,9.3,2.1,0.2,0.2,0.0,0.0
Valtti/TDJ,2.7,22.6,35.8,26.700000000000003,9.3,2.4,0.5,0.0,0.0
MLHF/Reserves,0.0,7.8,34.599999999999994,41.199999999999996,11.600000000000001,3.1,1.4000000000000001,0.3,0.0
PK-35/Äijät,0.0,0.2,3.3000000000000003,7.8,27.200000000000003,29.5,21.5,9.3,1.2
Kullervo,0.0,0.4,1.9,6.5,24.8,22.2,21.0,13.5,9.700000000000001
Valtti/4,0.0,0.1,2.6,6.800000000000001,17.9,23.5,21.5,16.8,10.8
Cosmos,0.0,0.0,0.0,1.0,3.9,12.1,18.2,31.2,33.6
Käpylän Sekunda,0.0,0.0,0.0,0.5,3.2,7.000000000000001,15.7,28.9,44.7
