Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,59.4,36.5,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,38.7,51.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,1.9,12.4,70.39999999999999,9.9,3.4000000000000004,1.2,0.5,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,0.0,0.1,7.7,33.6,19.6,13.100000000000001,8.6,5.7,4.1000000000000005,2.9000000000000004,2.7,0.5,0.7000000000000001,0.6,0.1,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.0,2.0,14.299999999999999,19.8,14.899999999999999,12.6,9.2,7.9,5.3,5.5,3.9,2.5,1.0999999999999999,0.6,0.3,0.1,0.0,0.0,0.0
Brentford,0.0,0.0,1.9,10.9,13.8,14.2,12.5,10.100000000000001,11.200000000000001,7.1,6.800000000000001,4.3999999999999995,3.1,2.6,1.0999999999999999,0.3,0.0,0.0,0.0,0.0
Sunderland,0.0,0.0,1.0999999999999999,9.3,12.2,11.600000000000001,13.600000000000001,12.5,9.6,9.2,6.7,4.9,4.3999999999999995,3.3000000000000003,1.3,0.3,0.0,0.0,0.0,0.0
Newcastle United,0.0,0.0,1.3,8.3,10.299999999999999,12.8,11.200000000000001,11.1,10.100000000000001,7.9,8.5,6.9,4.9,3.5000000000000004,2.7,0.5,0.0,0.0,0.0,0.0
Manchester United,0.0,0.0,0.6,4.1000000000000005,6.3,9.1,9.5,10.6,11.1,11.1,10.5,8.5,7.5,4.8,4.0,2.1999999999999997,0.1,0.0,0.0,0.0
Brighton & Hove Albion,0.0,0.0,0.4,4.2,5.2,8.5,9.6,10.2,10.299999999999999,11.1,8.3,9.2,9.4,5.8999999999999995,4.3999999999999995,2.3,1.0,0.0,0.0,0.0
Everton,0.0,0.0,0.0,1.7999999999999998,3.5999999999999996,5.2,5.800000000000001,9.3,10.8,11.3,10.0,11.1,11.5,10.299999999999999,6.5,2.3,0.5,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.3,1.0999999999999999,1.6,4.3999999999999995,6.2,6.800000000000001,7.9,10.6,10.0,13.5,12.4,10.8,7.9,5.5,1.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.3,1.6,2.1,3.1,5.4,7.1,7.199999999999999,9.9,12.0,11.1,12.3,11.700000000000001,9.5,5.3,1.4000000000000001,0.0,0.0,0.0
Tottenham Hotspur,0.0,0.0,0.0,0.4,1.2,1.5,2.6,4.8,5.3,7.5,7.9,12.5,12.8,17.4,15.1,7.7,2.9000000000000004,0.4,0.0,0.0
AFC Bournemouth,0.0,0.0,0.0,0.1,0.6,0.4,1.3,1.0999999999999999,3.2,3.4000000000000004,6.2,8.0,9.4,12.9,21.2,20.4,10.100000000000001,1.5,0.2,0.0
Leeds United,0.0,0.0,0.0,0.0,0.3,0.0,0.4,1.4000000000000001,1.0999999999999999,2.3,4.6,4.8,7.7,12.1,17.599999999999998,29.299999999999997,15.299999999999999,2.8000000000000003,0.3,0.0
Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.3,0.6,1.4000000000000001,3.0,7.3999999999999995,20.599999999999998,48.5,14.7,2.6,0.3
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,1.7000000000000002,13.5,51.800000000000004,27.6,4.8
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,5.1,25.2,53.7,14.6
Wolverhampton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5999999999999996,15.6,80.30000000000001
