Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,0.0,90.9,6.800000000000001,1.7999999999999998,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,0.0,3.3000000000000003,50.3,30.9,12.2,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.0,3.5000000000000004,24.0,30.099999999999998,28.000000000000004,11.899999999999999,2.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,0.0,2.1,13.0,24.7,33.900000000000006,19.2,6.6000000000000005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.2,5.800000000000001,10.9,20.3,36.7,24.0,1.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.0,0.1,1.6,4.9,26.400000000000002,54.50000000000001,9.2,2.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.2,1.4000000000000001,5.7,43.2,26.700000000000003,13.600000000000001,7.5,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,3.9,19.400000000000002,24.4,27.6,19.1,4.3999999999999995,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.3,2.1999999999999997,16.8,25.7,22.900000000000002,22.8,8.200000000000001,0.8999999999999999,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.2,0.6,8.6,18.0,27.800000000000004,31.4,12.1,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,6.800000000000001,15.299999999999999,51.9,14.7,6.3,1.4000000000000001,0.5,0.1,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7000000000000002,8.0,30.099999999999998,24.7,18.7,12.2,4.3999999999999995,0.0,0.0,0.0
Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,6.0,18.7,20.599999999999998,20.599999999999998,18.9,14.099999999999998,0.0,0.0,0.0
Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.3,14.6,20.599999999999998,22.900000000000002,23.400000000000002,13.600000000000001,0.0,0.0,0.0
Manchester Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,3.0,14.6,17.7,23.3,23.9,17.0,0.0,0.0,0.0
West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,4.6,9.9,13.0,21.099999999999998,50.8,0.0,0.0,0.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,18.4,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,81.39999999999999,0.2
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.8
