Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Barcelona,70.19999999999999,26.3,3.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Madrid,28.1,58.099999999999994,12.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Madrid,1.0999999999999999,9.5,52.5,36.0,0.7000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.6,6.1,31.900000000000002,57.49999999999999,3.5999999999999996,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Betis,0.0,0.0,0.2,2.8000000000000003,50.5,27.200000000000003,11.899999999999999,4.1000000000000005,1.6,0.8999999999999999,0.4,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celta Vigo,0.0,0.0,0.2,1.3,28.299999999999997,34.699999999999996,17.299999999999997,9.700000000000001,4.1000000000000005,2.5,1.0999999999999999,0.7000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Espanyol,0.0,0.0,0.0,0.3,11.899999999999999,20.0,25.4,19.0,8.799999999999999,6.1,4.7,1.5,0.8,1.0,0.2,0.2,0.1,0.0,0.0,0.0
Real Sociedad,0.0,0.0,0.0,0.0,2.6,6.4,16.7,17.4,15.7,11.4,8.4,6.5,5.0,4.0,2.0,2.1,1.3,0.5,0.0,0.0
Osasuna,0.0,0.0,0.0,0.0,0.7000000000000001,4.6,9.5,12.9,13.600000000000001,13.8,10.7,8.4,5.6000000000000005,5.5,5.2,3.5999999999999996,2.8000000000000003,2.3,0.8,0.0
Elche,0.0,0.0,0.0,0.0,0.6,2.6,6.4,9.1,13.4,12.3,11.3,10.7,8.799999999999999,7.7,5.4,3.5999999999999996,4.3,2.1999999999999997,1.6,0.0
Athletic Club,0.0,0.0,0.0,0.0,0.7000000000000001,1.7999999999999998,4.6,9.9,12.3,10.9,13.0,8.799999999999999,10.0,8.1,6.1,5.6000000000000005,4.6,2.1,1.4000000000000001,0.1
Deportivo Alavés,0.0,0.0,0.0,0.0,0.1,0.5,2.6,4.7,7.6,8.5,9.700000000000001,12.7,12.8,11.700000000000001,7.7,8.5,6.0,3.9,3.0,0.0
Sevilla,0.0,0.0,0.0,0.0,0.2,0.8999999999999999,2.1,4.2,6.7,10.4,10.6,10.7,12.1,8.7,9.8,8.3,6.3,6.1,2.7,0.2
Valencia,0.0,0.0,0.0,0.0,0.1,0.4,0.5,3.1,5.1,6.7,7.3999999999999995,10.299999999999999,9.0,9.9,11.600000000000001,11.799999999999999,9.4,8.3,6.3,0.1
Mallorca,0.0,0.0,0.0,0.0,0.0,0.4,1.0,2.4,4.3,5.2,7.3,8.6,8.4,10.299999999999999,12.0,9.700000000000001,11.3,10.0,8.6,0.5
Rayo Vallecano,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,2.8000000000000003,3.1,4.0,6.3,8.4,9.3,10.8,13.3,13.5,13.0,12.6,1.0999999999999999
Girona FC,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,2.4,3.4000000000000004,5.1,6.4,7.1,8.6,11.4,12.0,13.3,13.900000000000002,13.900000000000002,0.7000000000000001
Getafe,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.8,0.8999999999999999,2.3,3.8,4.3,5.0,7.3,8.9,10.4,14.2,18.8,21.7,1.2
Levante UD,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.7000000000000001,2.5,2.5,4.0,6.6000000000000005,7.9,8.799999999999999,10.8,12.4,18.3,22.8,2.0
Real Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,4.6,94.1
